cmpd,plate.384,row.384,column.384,available,plate.96,row.96,column.96
1500656,MS384001,L,12,,MS096001,H,11
1400131,MS384001,L,13,,MS096002,H,2
1401037,MS384001,L,14,,MS096002,H,3
1400156,MS384001,L,15,,MS096002,H,4
201654,MS384001,L,16,,MS096002,H,5
200259,MS384001,L,17,,MS096002,H,6
200488,MS384001,L,18,,MS096002,H,7
200744,MS384001,L,19,,MS096002,H,8
201154,MS384001,L,20,,MS096002,H,9
1501212,MS384001,L,21,,MS096002,H,10
1502230,MS384001,L,22,,MS096002,H,11
DMSO,MS384001,D,3,,NA,NA,NA
DMSO,MS384001,D,8,,NA,NA,NA
DMSO,MS384001,D,13,,NA,NA,NA
DMSO,MS384001,D,18,,NA,NA,NA
DMSO,MS384001,D,22,,NA,NA,NA
DMSO,MS384001,M,3,,NA,NA,NA
DMSO,MS384001,M,8,,NA,NA,NA
DMSO,MS384001,M,13,,NA,NA,NA
DMSO,MS384001,M,18,,NA,NA,NA
DMSO,MS384001,M,22,,NA,NA,NA
1500843,MS384002,E,3,x,MS096003,A,2
1500826,MS384002,E,4,x,MS096003,A,3
1500901,MS384002,E,5,x,MS096003,A,4
201513,MS384002,E,6,,MS096003,A,5
201341,MS384002,E,7,x,MS096003,A,6
203010,MS384002,E,8,,MS096003,A,7
210505,MS384002,E,9,,MS096003,A,8
1500807,MS384002,E,10,,MS096003,A,9
1500847,MS384002,E,11,,MS096003,A,10
1500824,MS384002,E,12,x,MS096003,A,11
200433,MS384002,E,13,,MS096004,A,2
1400208,MS384002,E,14,,MS096004,A,3
240828,MS384002,E,15,,MS096004,A,4
300001,MS384002,E,16,,MS096004,A,5
300007,MS384002,E,17,,MS096004,A,6
300006,MS384002,E,18,,MS096004,A,7
300012,MS384002,E,19,,MS096004,A,8
300010,MS384002,E,20,,MS096004,A,9
300018,MS384002,E,21,,MS096004,A,10
300021,MS384002,E,22,,MS096004,A,11
1500899,MS384002,F,3,x,MS096003,B,2
1500874,MS384002,F,4,x,MS096003,B,3
1500871,MS384002,F,5,,MS096003,B,4
203029,MS384002,F,6,,MS096003,B,5
1504135,MS384002,F,7,,MS096003,B,6
210866,MS384002,F,8,,MS096003,B,7
1500678,MS384002,F,9,,MS096003,B,8
1500862,MS384002,F,10,,MS096003,B,9
1500880,MS384002,F,11,,MS096003,B,10
201448,MS384002,F,12,,MS096003,B,11
300032,MS384002,F,13,,MS096004,B,2
300037,MS384002,F,14,,MS096004,B,3
300048,MS384002,F,15,,MS096004,B,4
300052,MS384002,F,16,,MS096004,B,5
300056,MS384002,F,17,,MS096004,B,6
300057,MS384002,F,18,,MS096004,B,7
300058,MS384002,F,19,,MS096004,B,8
300049,MS384002,F,20,,MS096004,B,9
1500730,MS384002,F,21,,MS096004,B,10
1500741,MS384002,F,22,,MS096004,B,11
200010,MS384002,G,3,,MS096003,C,2
1500819,MS384002,G,4,,MS096003,C,3
1500706,MS384002,G,5,,MS096003,C,4
211468,MS384002,G,6,,MS096003,C,5
1500840,MS384002,G,7,,MS096003,C,6
1500861,MS384002,G,8,,MS096003,C,7
1500853,MS384002,G,9,,MS096003,C,8
201539,MS384002,G,10,,MS096003,C,9
310030,MS384002,G,11,,MS096003,C,10
1500872,MS384002,G,12,,MS096003,C,11
1500738,MS384002,G,13,,MS096004,C,2
1500742,MS384002,G,14,,MS096004,C,3
1500746,MS384002,G,15,,MS096004,C,4
1500740,MS384002,G,16,,MS096004,C,5
1500737,MS384002,G,17,,MS096004,C,6
1500752,MS384002,G,18,,MS096004,C,7
1500753,MS384002,G,19,,MS096004,C,8
100368,MS384002,G,20,,MS096004,C,9
100432,MS384002,G,21,,MS096004,C,10
100434,MS384002,G,22,,MS096004,C,11
1500817,MS384002,H,3,,MS096003,D,2
107100,MS384002,H,4,,MS096003,D,3
1500837,MS384002,H,5,,MS096003,D,4
100031,MS384002,H,6,,MS096003,D,5
1500852,MS384002,H,7,,MS096003,D,6
1500729,MS384002,H,8,,MS096003,D,7
100423,MS384002,H,9,,MS096003,D,8
200255,MS384002,H,10,,MS096003,D,9
1500815,MS384002,H,11,,MS096003,D,10
200033,MS384002,H,12,,MS096003,D,11
100435,MS384002,H,13,,MS096004,D,2
100439,MS384002,H,14,,MS096004,D,3
100447,MS384002,H,15,,MS096004,D,4
100455,MS384002,H,16,,MS096004,D,5
100458,MS384002,H,17,,MS096004,D,6
100465,MS384002,H,18,,MS096004,D,7
100517,MS384002,H,19,,MS096004,D,8
100492,MS384002,H,20,,MS096004,D,9
100497,MS384002,H,21,,MS096004,D,10
100520,MS384002,H,22,,MS096004,D,11
100117,MS384002,I,3,,MS096003,E,2
1500835,MS384002,I,4,,MS096003,E,3
1500850,MS384002,I,5,,MS096003,E,4
201524,MS384002,I,6,,MS096003,E,5
210477,MS384002,I,7,,MS096003,E,6
205071,MS384002,I,8,,MS096003,E,7
1500260,MS384002,I,9,x,MS096003,E,8
200099,MS384002,I,10,,MS096003,E,9
1500832,MS384002,I,11,,MS096003,E,10
1500857,MS384002,I,12,,MS096003,E,11
100528,MS384002,I,13,,MS096004,E,2
100529,MS384002,I,14,,MS096004,E,3
100531,MS384002,I,15,,MS096004,E,4
1503431,MS384002,I,16,,MS096004,E,5
100540,MS384002,I,17,,MS096004,E,6
100541,MS384002,I,18,,MS096004,E,7
100543,MS384002,I,19,,MS096004,E,8
100550,MS384002,I,20,,MS096004,E,9
100551,MS384002,I,21,,MS096004,E,10
100552,MS384002,I,22,,MS096004,E,11
1500849,MS384002,J,3,,MS096003,F,2
1500655,MS384002,J,4,,MS096003,F,3
210296,MS384002,J,5,,MS096003,F,4
100105,MS384002,J,6,,MS096003,F,5
1500812,MS384002,J,7,x,MS096003,F,6
300060,MS384002,J,8,,MS096003,F,7
310031,MS384002,J,9,,MS096003,F,8
300537,MS384002,J,10,,MS096003,F,9
100035,MS384002,J,11,,MS096003,F,10
300553,MS384002,J,12,,MS096003,F,11
100563,MS384002,J,13,,MS096004,F,2
100568,MS384002,J,14,,MS096004,F,3
100566,MS384002,J,15,,MS096004,F,4
100572,MS384002,J,16,,MS096004,F,5
100576,MS384002,J,17,,MS096004,F,6
100582,MS384002,J,18,,MS096004,F,7
100583,MS384002,J,19,,MS096004,F,8
100584,MS384002,J,20,x,MS096004,F,9
100585,MS384002,J,21,,MS096004,F,10
100595,MS384002,J,22,,MS096004,F,11
300531,MS384002,K,3,,MS096003,G,2
201092,MS384002,K,4,,MS096003,G,3
1500869,MS384002,K,5,x,MS096003,G,4
300564,MS384002,K,6,,MS096003,G,5
201727,MS384002,K,7,x,MS096003,G,6
300055,MS384002,K,8,x,MS096003,G,7
300539,MS384002,K,9,,MS096003,G,8
100575,MS384002,K,10,,MS096003,G,9
1500331,MS384002,K,11,,MS096003,G,10
203032,MS384002,K,12,x,MS096003,G,11
100609,MS384002,K,13,,MS096004,G,2
100612,MS384002,K,14,,MS096004,G,3
100615,MS384002,K,15,,MS096004,G,4
100652,MS384002,K,16,,MS096004,G,5
100655,MS384002,K,17,,MS096004,G,6
100719,MS384002,K,18,,MS096004,G,7
100743,MS384002,K,19,,MS096004,G,8
100749,MS384002,K,20,x,MS096004,G,9
100901,MS384002,K,21,,MS096004,G,10
102034,MS384002,K,22,,MS096004,G,11
300061,MS384002,L,3,,MS096003,H,2
300533,MS384002,L,4,,MS096003,H,3
210206,MS384002,L,5,,MS096003,H,4
310038,MS384002,L,6,,MS096003,H,5
300554,MS384002,L,7,x,MS096003,H,6
211009,MS384002,L,8,x,MS096003,H,7
100577,MS384002,L,9,,MS096003,H,8
2300329,MS384002,L,10,,MS096003,H,9
1500667,MS384002,L,11,,MS096003,H,10
201281,MS384002,L,12,x,MS096003,H,11
102076,MS384002,L,13,,MS096004,H,2
107013,MS384002,L,14,,MS096004,H,3
107022,MS384002,L,15,,MS096004,H,4
107023,MS384002,L,16,,MS096004,H,5
100650,MS384002,L,17,,MS096004,H,6
200012,MS384002,L,18,,MS096004,H,7
1500156,MS384002,L,19,,MS096004,H,8
100651,MS384002,L,20,,MS096004,H,9
200208,MS384002,L,21,,MS096004,H,10
200054,MS384002,L,22,,MS096004,H,11
DMSO,MS384002,D,3,,NA,NA,NA
DMSO,MS384002,D,8,,NA,NA,NA
DMSO,MS384002,D,13,,NA,NA,NA
DMSO,MS384002,D,17,,NA,NA,NA
DMSO,MS384002,D,22,,NA,NA,NA
DMSO,MS384002,M,3,,NA,NA,NA
DMSO,MS384002,M,8,,NA,NA,NA
DMSO,MS384002,M,13,,NA,NA,NA
DMSO,MS384002,M,17,,NA,NA,NA
DMSO,MS384002,M,22,,NA,NA,NA
200007,MS384003,E,3,,MS096005,A,2
100103,MS384003,E,4,,MS096005,A,3
200002,MS384003,E,5,,MS096005,A,4
100424,MS384003,E,6,,MS096005,A,5
100682,MS384003,E,7,,MS096005,A,6
200004,MS384003,E,8,,MS096005,A,7
100616,MS384003,E,9,,MS096005,A,8
100050,MS384003,E,10,,MS096005,A,9
200851,MS384003,E,11,,MS096005,A,10
210850,MS384003,E,12,,MS096005,A,11
1504005,MS384003,E,13,,MS096006,A,2
1504015,MS384003,E,14,,MS096006,A,3
1504016,MS384003,E,15,,MS096006,A,4
1504017,MS384003,E,16,,MS096006,A,5
1504018,MS384003,E,17,,MS096006,A,6
1504019,MS384003,E,18,,MS096006,A,7
1504020,MS384003,E,19,,MS096006,A,8
1504022,MS384003,E,20,,MS096006,A,9
1504023,MS384003,E,21,,MS096006,A,10
1504024,MS384003,E,22,,MS096006,A,11
210874,MS384003,F,3,,MS096005,B,2
210369,MS384003,F,4,,MS096005,B,3
211012,MS384003,F,5,,MS096005,B,4
100129,MS384003,F,6,,MS096005,B,5
210924,MS384003,F,7,,MS096005,B,6
1500523,MS384003,F,8,,MS096005,B,7
1503815,MS384003,F,9,,MS096005,B,8
201602,MS384003,F,10,,MS096005,B,9
1500864,MS384003,F,11,,MS096005,B,10
210567,MS384003,F,12,,MS096005,B,11
1504034,MS384003,F,13,,MS096006,B,2
1504036,MS384003,F,14,,MS096006,B,3
1504037,MS384003,F,15,,MS096006,B,4
1504041,MS384003,F,16,,MS096006,B,5
1504051,MS384003,F,17,,MS096006,B,6
1504053,MS384003,F,18,,MS096006,B,7
1504059,MS384003,F,19,,MS096006,B,8
1504056,MS384003,F,20,,MS096006,B,9
1504066,MS384003,F,21,,MS096006,B,10
1504068,MS384003,F,22,,MS096006,B,11
200640,MS384003,G,3,,MS096005,C,2
100279,MS384003,G,4,x,MS096005,C,3
1504060,MS384003,G,5,,MS096005,C,4
210837,MS384003,G,6,,MS096005,C,5
210014,MS384003,G,7,,MS096005,C,6
200424,MS384003,G,8,,MS096005,C,7
200107,MS384003,G,9,,MS096005,C,8
100301,MS384003,G,10,,MS096005,C,9
100698,MS384003,G,11,x,MS096005,C,10
102035,MS384003,G,12,,MS096005,C,11
1504069,MS384003,G,13,,MS096006,C,2
1504073,MS384003,G,14,,MS096006,C,3
1504075,MS384003,G,15,,MS096006,C,4
1504078,MS384003,G,16,,MS096006,C,5
1504084,MS384003,G,17,,MS096006,C,6
1504090,MS384003,G,18,,MS096006,C,7
1504091,MS384003,G,19,,MS096006,C,8
1504104,MS384003,G,20,,MS096006,C,9
1504119,MS384003,G,21,,MS096006,C,10
1504130,MS384003,G,22,,MS096006,C,11
700024,MS384003,H,3,,MS096005,D,2
100638,MS384003,H,4,,MS096005,D,3
200258,MS384003,H,5,,MS096005,D,4
100562,MS384003,H,6,,MS096005,D,5
1504076,MS384003,H,7,,MS096005,D,6
201606,MS384003,H,8,,MS096005,D,7
210568,MS384003,H,9,,MS096005,D,8
1500944,MS384003,H,10,,MS096005,D,9
210522,MS384003,H,11,,MS096005,D,10
1500731,MS384003,H,12,,MS096005,D,11
1504149,MS384003,H,13,,MS096006,D,2
1504123,MS384003,H,14,x,MS096006,D,3
1504176,MS384003,H,15,,MS096006,D,4
1504412,MS384003,H,16,x,MS096006,D,5
1504800,MS384003,H,17,,MS096006,D,6
1505217,MS384003,H,18,,MS096006,D,7
1505240,MS384003,H,19,,MS096006,D,8
1505242,MS384003,H,20,,MS096006,D,9
1505243,MS384003,H,21,,MS096006,D,10
1505254,MS384003,H,22,,MS096006,D,11
1500711,MS384003,I,3,,MS096005,E,2
100146,MS384003,I,4,,MS096005,E,3
1500903,MS384003,I,5,,MS096005,E,4
200441,MS384003,I,6,,MS096005,E,5
1500990,MS384003,I,7,,MS096005,E,6
1504256,MS384003,I,8,,MS096005,E,7
1504002,MS384003,I,9,,MS096005,E,8
1504228,MS384003,I,10,,MS096005,E,9
1504139,MS384003,I,11,,MS096005,E,10
1504006,MS384003,I,12,x,MS096005,E,11
1505256,MS384003,I,13,,MS096006,E,2
1505257,MS384003,I,14,,MS096006,E,3
1505268,MS384003,I,15,,MS096006,E,4
1505269,MS384003,I,16,,MS096006,E,5
1505274,MS384003,I,17,,MS096006,E,6
1505278,MS384003,I,18,,MS096006,E,7
1505282,MS384003,I,19,,MS096006,E,8
1505320,MS384003,I,20,,MS096006,E,9
1505345,MS384003,I,21,,MS096006,E,10
202175,MS384003,I,22,,MS096006,E,11
100068,MS384003,J,3,,MS096005,F,2
1505250,MS384003,J,4,,MS096005,F,3
307057,MS384003,J,5,,MS096005,F,4
1504021,MS384003,J,6,,MS096005,F,5
1504070,MS384003,J,7,,MS096005,F,6
1502237,MS384003,J,8,,MS096005,F,7
1505247,MS384003,J,9,,MS096005,F,8
240565,MS384003,J,10,,MS096005,F,9
1503346,MS384003,J,11,,MS096005,F,10
1505234,MS384003,J,12,,MS096005,F,11
211552,MS384003,J,13,,MS096006,F,2
212126,MS384003,J,14,,MS096006,F,3
240929,MS384003,J,15,,MS096006,F,4
240651,MS384003,J,16,,MS096006,F,5
240871,MS384003,J,17,,MS096006,F,6
240942,MS384003,J,18,,MS096006,F,7
300105,MS384003,J,19,,MS096006,F,8
1800018,MS384003,J,20,,MS096006,F,9
1800109,MS384003,J,21,,MS096006,F,10
1800031,MS384003,J,22,,MS096006,F,11
1504030,MS384003,K,3,,MS096005,G,2
1503705,MS384003,K,4,,MS096005,G,3
1504025,MS384003,K,5,,MS096005,G,4
1504105,MS384003,K,6,,MS096005,G,5
1504181,MS384003,K,7,,MS096005,G,6
1500865,MS384003,K,8,,MS096005,G,7
201662,MS384003,K,9,,MS096005,G,8
1504910,MS384003,K,10,,MS096005,G,9
102007,MS384003,K,11,,MS096005,G,10
200798,MS384003,K,12,,MS096005,G,11
211539,MS384003,K,13,,MS096006,G,2
211813,MS384003,K,14,,MS096006,G,3
200034,MS384003,K,15,,MS096006,G,4
211473,MS384003,K,16,,MS096006,G,5
211950,MS384003,K,17,,MS096006,G,6
201186,MS384003,K,18,,MS096006,G,7
201185,MS384003,K,19,,MS096006,G,8
202178,MS384003,K,20,,MS096006,G,9
202130,MS384003,K,21,,MS096006,G,10
201355,MS384003,K,22,,MS096006,G,11
1500760,MS384003,L,3,,MS096005,H,2
1500822,MS384003,L,4,,MS096005,H,3
1500854,MS384003,L,5,,MS096005,H,4
1500860,MS384003,L,6,,MS096005,H,5
1500877,MS384003,L,7,,MS096005,H,6
1500867,MS384003,L,8,,MS096005,H,7
200449,MS384003,L,9,,MS096005,H,8
